UTC_Time,Account,Operation,Coin,Change,Remark
2021-06-12 00:50:48,Spot,POS savings interest,ADA,0.01803621,""
2021-06-13 00:49:35,Spot,POS savings interest,ADA,0.01803621,""
2021-06-14 00:49:12,Spot,POS savings interest,ADA,0.01803621,""
2021-06-14 22:41:05,Spot,Deposit,BTC,0.01131335,""
2021-06-15 00:01:37,Spot,transfer_out,BTC,-0.00727449,""
2021-06-15 00:01:37,P2P,transfer_in,BTC,0.00727449,""
2021-06-15 00:15:50,Spot,Large OTC trading,BTC,-0.00334000,""
2021-06-15 00:15:51,Spot,Large OTC trading,XMR,0.48785333,""
2021-06-15 00:47:59,Spot,POS savings interest,ADA,0.01803621,""
2021-06-16 00:47:43,Spot,POS savings interest,ADA,0.01803621,""
2021-06-17 00:46:36,Spot,POS savings interest,ADA,0.01803621,""
2021-06-18 00:46:54,Spot,POS savings interest,ADA,0.01803621,""
2021-06-18 12:25:12,Spot,Small assets exchange BNB,BUSD,-0.00204040,""
2021-06-18 12:25:12,Spot,Small assets exchange BNB,BNB,0.00000571,""
2021-06-19 00:45:28,Spot,POS savings interest,ADA,0.01803621,""
2021-06-20 00:46:13,Spot,POS savings interest,ADA,0.01803621,""
2021-06-21 00:39:11,Spot,POS savings interest,ADA,0.01803621,""
2021-06-22 00:46:05,Spot,POS savings interest,ADA,0.01803621,""
2021-06-22 15:11:49,P2P,P2P Trading,BUSD,310.07751937,""
2021-06-22 15:12:50,Spot,transfer_in,BUSD,310.07751937,""
2021-06-22 15:12:50,P2P,transfer_out,BUSD,-310.07751937,""
2021-06-22 15:13:51,Spot,Large OTC trading,BTC,0.01002822,""
2021-06-22 15:13:51,Spot,Large OTC trading,BUSD,-310.07751937,""
2021-06-23 00:44:14,Spot,POS savings interest,ADA,0.01803621,""
2021-06-24 00:43:37,Spot,POS savings interest,ADA,0.01803621,""
2021-06-24 17:07:34,Spot,Sell,BUSD,545.86000000,""
2021-06-24 17:07:34,Spot,Sell,BTC,-0.01559600,""
2021-06-25 00:42:45,Spot,POS savings interest,ADA,0.01803621,""
2021-06-25 16:28:07,Spot,Buy,BUSD,-545.85600000,""
2021-06-25 16:28:07,Spot,Buy,BTC,0.01705800,""
2021-06-26 00:43:34,Spot,POS savings interest,ADA,0.01803621,""
2021-06-27 00:42:16,Spot,POS savings interest,ADA,0.01803621,""
2021-06-28 00:41:14,Spot,POS savings interest,ADA,0.01803621,""
2021-06-28 15:39:43,Spot,Sell,ETH,-0.10470000,""
2021-06-28 15:39:43,Spot,Sell,BUSD,219.87000000,""
2021-06-29 00:41:02,Spot,POS savings interest,ADA,0.01803621,""
2021-06-29 23:17:16,P2P,P2P Trading,USDT,240.00000000,""
2021-06-29 23:29:11,Spot,transfer_in,BTC,0.00727449,""
2021-06-29 23:29:11,P2P,transfer_out,BTC,-0.00727449,""
2021-06-30 00:41:25,Spot,POS savings interest,ADA,0.01803621,""
